label,phrase
0.5,speak
0.55556,fluent
0.30556,flatula
0.5,advises
0.5,Denlopp
0.65278,bubbly
0.51389,exchange
0.44444,alien
0.44444,deckhand
0.77778,witty
0.55556,updatings
0.51389,Silver
0.48611,parrot
0.5,replaced
0.5,Morph
0.63889,cute
0.5,creature
0.44444,mimics
0.5,There
0.51389,Y
0.5,Tu
0.5,Mam谩
0.5,Tambi茅n
0.55556,brave
0.72222,uninhibited
0.52778,performances
0.58333,lead
0.5,13
0.5,Conversations
0.55556,holds
0.69444,goodwill
0.5,close
0.22222,slow
0.5,Auto
0.625,Focus
0.5,unusual
0.5,biopic
0.66667,document
0.5,male
0.45833,swingers
0.55556,Playboy
0.48611,Mr.
0.5,Zhang
0.5,subject
0.5,degree
0.58333,quintessentially
0.5,American
0.5,approach
0.5,storytelling
0.5,called
0.5,Iranian
0.31944,sour
0.5,core
0.55556,exploration
0.31944,emptiness
0.5,underlay
0.55556,relentless
0.5,gaiety
0.5,1920
0.56944,feeling
0.51389,deal
0.5,Cremaster
0.5,3
0.41667,warning
0.52778,buffs
0.5,Made
0.63889,unintentionally
0.59722,famous
0.25,queasy-stomached
0.44444,critic
0.47222,staggered
0.61111,theater
0.5,blacked
0.58333,lobby
0.88889,beautiful
0.68056,evocative
0.5,Garc铆a
0.5,Bernal
0.5,Talanc贸n
0.61111,immensely
0.77778,appealing
0.54167,couple
0.51389,predictable
0.48611,spoof
0.70833,comedy
0.44444,carries
0.63889,share
0.75,laughs
0.68056,chuckle
0.5,guffaw
0.88889,pleasure
0.5,occasional
0.43056,belly
0.66667,laugh
0.55556,City
0.5,reminds
0.66667,realistically
0.52778,nuanced
0.51389,Robert
0.5,De
0.52778,Niro
0.52778,performance
0.66667,lucratively
0.66667,engaged
0.36111,shameless
0.38889,self-caricature
0.55556,Analyze
0.5,1999
0.5,That
0.5,promised
0.40278,threatened
0.5,wanton
0.5,slipperiness
0.5,\*
0.47222,Corpus
0.69444,amiable
0.5,jerking
0.5,reshaping
0.5,physical
0.5,space
0.5,watch
0.54167,kids
0.59722,introduce
0.5,video
0.55556,starts
0.38889,typical
0.5,Bible
0.34722,killer
0.5,theme
0.55556,pride
0.73611,sophisticated
0.51389,discerning
0.58333,taste
0.51389,proper
0.5,cup
0.54167,guaranteed
0.33333,stuffiest
0.5,cinema
0.5,goers
0.5,\*\*\*
0.5,hour-and-a-half
0.5,cuts
0.33333,fears
0.5,girl
0.5,boys
0.5,boy
0.5,metaphorical
0.51389,wave
0.55556,relief
0.5,baseball
0.52778,movies
0.58333,mythic
0.84722,sweet
0.66667,modest
0.54167,ultimately
0.77778,winning
0.5,crisp
0.68056,psychological
0.38889,drama
0.61111,thriller
0.86111,perfect
0.5,Twilight
0.5,Zone
0.51389,episode
0.5,moments
0.75,insightful
0.77778,fondly
0.5,remembered
0.38889,endlessly
0.52778,challenging
0.48611,maze
0.5,moviegoing
0.52778,Opening
0.48611,contrived
0.47222,banter
0.40278,cliches
0.30556,loose
0.48611,half
0.5,An
0.66667,uncluttered
0.72222,resonant
0.61111,gem
0.55556,relays
0.54167,universal
0.33333,confrontations
0.5,Cockettes
0.52778,window
0.54167,subculture
0.30556,hell-bent
0.56944,expressing
0.75,imaginable
0.81944,smart
0.68056,steamy
0.5,mix
0.38889,road
0.5,coming-of-age
0.54167,political
0.55556,satire
0.5,modern-day
0.55556,royals
0.5,guys
0.43056,scandals
0.5,fairy
0.5,tales
0.61111,princesses
0.54167,married
0.5,live
0.75,happily
0.5,B
0.5,memory
0.54167,Birthday
0.5,actor
0.5,foremost
0.5,walked
0.47222,version
0.5,E.T.
0.58333,hoped
0.5,moist
0.55556,eyes
0.5,devotees
0.45833,French
0.51389,Safe
0.5,Conduct
0.66667,rich
0.5,period
0.5,minutiae
0.34722,dying
0.44444,celluloid
0.66667,heaven
0.58333,characters
0.5,resemblance
0.5,everyday
0.61111,children
0.375,Shamelessly
0.5,resorting
0.27778,pee-related
0.5,sight
0.55556,gags
0.51389,Tom
0.51389,Green
0.33333,grimace
0.5,Myer
0.38889,silliness
0.41667,eventually
0.625,prevail
0.33333,absurdist
0.45833,spider
0.56944,web
0.81944,happy
0.5,listening
0.5,watching
0.52778,parade
0.41667,frailty
0.73611,fascinates
0.5,moves
0.65278,original
0.5,nostalgia
0.51389,communal
0.5,experiences
0.5,yesteryear
0.5,deeper
0.51389,realization
0.40278,inability
0.5,stand
0.66667,TRUE
0.59722,lived
0.5,experience
0.5,Some
0.51389,blend
0.38889,distant
0.56944,memories
0.51389,Mention
0.5,Solaris
0.5,opinion
0.5,Allen
0.88889,funniest
0.72222,likeable
0.80556,glorious
0.69444,spectacle
0.5,D.W.
0.51389,Griffith
0.5,days
0.5,silent
0.55556,comic
0.90278,delightful
0.61111,derivative
0.52778,More
0.58333,timely
0.5,director
0.55556,dreamed
0.5,quietly
0.5,lyrical
0.5,tale
0.5,probes
0.72222,ambiguous
0.55556,extended
0.5,Iran
0.44444,Afghani
0.55556,streamed
0.5,borders
0.23611,desperate
0.55556,food
0.52778,leaping
0.44444,shaped
0.5,Kosminsky
0.66667,sharp
0.5,slivers
0.44444,cutting
0.58333,impressions
0.5,signs
0.66667,detail
0.47222,condensed
0.5,images
0.70833,striking
0.52778,traits
0.5,With
0.51389,principal
0.5,singers
0.56944,youthful
0.69444,good-looking
0.66667,diva
0.5,tenor
0.66667,richly
0.59722,handsome
0.5,locations
0.5,Jacquot
0.51389,left
0.52778,filmed
0.5,opera
0.38889,distortions
0.5,perspective
0.5,production
0.61111,enormous
0.5,amount
0.625,affection
0.63889,Certainly
0.63889,worthwhile
0.51389,Winds
0.72222,revelatory
0.33333,narcissistic
0.54167,achieving
0.80556,honest
0.47222,insight
0.5,relationships
0.70833,high-concept
0.5,candy-coat
0.44444,pat
0.52778,storylines
0.70833,precious
0.51389,circumstances
0.52778,stars
0.5,Watching
0.76389,inspiring
0.83333,joy
0.5,Spielberg
0.5,brings
1.0,masterpiece
0.5,Finally
0.44444,French-produced
0.51389,Read
0.5,Lips
0.54167,understands
0.5,Ms.
0.51389,Seigner
0.5,Serrault
0.61111,bring
0.81944,fresh
0.55556,naturalism
0.52778,outgag
0.44444,whippersnappers
0.70833,moving
0.5,pictures
0.77778,solid
0.55556,pedigree
0.5,front
0.5,camera
0.5,By
0.83333,slam-dunk
0.18056,disappoint
0.66667,moved
0.65278,edge
0.5,seats
0.75,dynamic
0.63889,touching
0.76389,transcendent
0.80556,encourage
0.58333,alike
0.73611,unique
0.90278,entertaining
0.56944,twist
0.68056,classic
0.5,whale
0.5,literary
0.44444,detective
0.44444,aficionados
0.5,whodunit
0.22222,disappointed
0.56944,High
0.40278,Crimes
0.11111,steals
0.66667,freely
0.54167,combines
0.43056,disparate
0.51389,types
0.65278,engage
0.5,audience
0.65278,fan
0.55556,series
0.77778,celebrates
0.59722,spark
0.52778,nonconformity
0.5,glancing
0.56944,Hibiscus
0.70833,grandly
0.5,angels
0.5,ironic
0.34722,ridiculous
0.34722,money-oriented
0.55556,record
0.5,industry
0.52778,testament
0.66667,integrity
0.5,band
0.38889,Laced
0.55556,liberal
0.5,doses
0.44444,dark
0.69444,gorgeous
0.48611,exterior
0.55556,photography
0.5,stable-full
0.38889,No
0.5,Such
0.47222,Huppert
0.38889,steal
0.61111,meal
0.55556,channeling
0.5,Kathy
0.5,Baker
0.34722,creepy
0.38889,repressed
0.5,mother
0.5,Boston
0.5,Public
0.5,8
0.5,Women
0.5,Augustine
0.5,Nair
0.63889,treat
0.43056,issues
0.52778,She
0.44444,confront
0.5,openly
0.5,One
0.38889,horror
0.5,shocks
0.48611,store
0.29167,unwary
0.5,viewers
0.5,filmmaker
0.43056,secrets
0.5,buried
0.56944,revealing
0.43056,Strange
0.51389,occurrences
0.55556,build
0.48611,mind
0.5,viewer
0.52778,extreme
0.45833,urgency
0.5,Has
0.45833,ghoulish
0.70833,fascination
0.5,generates
0.5,fair
0.375,B-movie
0.63889,excitement
0.5,Familiar
0.5,utterly
0.75,hooked
0.73611,delicious
0.48611,pulpiness
0.47222,lurid
0.63889,fiction
0.5,aims
0.77778,funny
0.79167,uplifting
0.51389,extent
0.72222,succeeds
0.84722,impressive
0.875,brilliantly
0.86111,shines
0.54167,direction
0.63889,intelligently
0.625,accomplished
0.5,While
0.5,collegiate
0.41667,gross-out
0.52778,restoring
0.48611,luster
0.5,National
0.45833,Lampoon
0.5,franchise
0.41667,reduced
0.40278,direct-to-video
0.25,irrelevancy
0.5,As
0.56944,broad
0.5,cartoonish
0.76389,accuracy
0.5,observation
0.43056,Frank
0.5,Novak
0.66667,grounded
0.51389,undeniable
0.54167,social
0.55556,realism
0.45833,In
0.5,addition
0.5,Hoffman
0.875,powerful
0.44444,clinic
0.63889,rare
0.56944,offers
0.80556,thoughtful
0.73611,rewarding
0.58333,glimpse
0.5,sort
0.51389,heartache
0.5,feel
0.51389,someday
0.5,Jeffrey
0.5,Tambor
0.77778,intelligent
0.52778,jazz-playing
0.44444,exterminator
0.95833,Oscar-worthy
0.34722,From
0.38889,strains
0.5,Average
0.5,White
0.55556,Band
0.51389,Pick
0.51389,Pieces
0.5,Stevens
0.79167,vibrant
0.5,instincts
0.51389,difference
0.5,countless
0.5,flicks
0.5,dolls
0.63889,mature
0.5,2002
0.54167,summer
0.625,season
0.5,speaks
0.51389,picture
0.375,Old
0.5,people
0.80556,nicest
0.5,Last
0.45833,Orders
0.68056,touch
0.54167,earned
0.58333,50-year
0.56944,friendship
0.5,Meyjes
0.72222,provocative
0.38889,haphazardness
0.22222,evil
0.5,Tian
0.52778,emphasizes
0.375,isolation
0.375,confining
0.59722,color
0.5,Liyan
0.51389,backyard
0.875,pretty
0.22222,demeaning
0.5,subjects
0.5,imagine
0.5,scenario
0.5,Bergman
0.5,approaches
0.65278,Swedish
0.56944,fatalism
0.5,Gary
0.5,Larson
0.5,Far
0.51389,Side
0.5,Too
0.33333,damn
0.30556,weird
0.5,pass
0.5,blacklight
0.5,crowd
0.40278,cheaper
0.51389,Pink
0.5,Floyd
0.5,tickets
0.83333,remarkable
0.79167,epic
0.52778,scope
0.48611,startling
0.55556,intimacy
0.5,achieves
0.55556,breadth
0.45833,monster
0.5,paid
0.5,matinee
0.5,price
0.56944,bought
0.5,tub
0.63889,popcorn
0.26389,guilty
0.44444,Chomp
0.51389,chomp
0.44444,Grey
0.5,voice
0.5,heard
0.41667,Holocaust
0.5,suffers
0.38889,difficulties
0.5,Others
0.61111,attuned
0.47222,anarchist
0.51389,maxim
0.52778,urge
0.27778,destroy
0.5,Morrison
0.55556,iconoclastic
0.5,technology
0.61111,liberating
0.5,Miller
0.5,tells
0.73611,compelling
0.41667,fuss
0.51389,noise
0.77778,expertly
0.54167,plucking
0.43056,tension
0.5,Time
0.48611,Out
0.5,existential
0.40278,pretension
0.5,term
0.65278,laugh-a-minute
0.61111,pleaser
0.56944,lifts
0.5,spirits
0.5,corners
0.55556,mouth
0.5625,Writer\/director
0.5,Alexander
0.5,Payne
0.44444,Election
0.5,co-writer
0.5,Jim
0.5,Taylor
0.5,employ
0.56944,quirky
0.77778,fearless
0.54167,ability
0.44444,angst
0.5,eye
0.84722,laughing
0.34722,flaws
0.41667,insists
0.79167,virtue
0.45833,imperfection
0.44444,tough
0.58333,animated
0.5,feature
0.5,theaters
0.72222,Beauty
0.44444,Beast
0.5,11
0.5,ago
0.76389,saves
0.59722,deeply
0.56944,collection
0.44444,wrenching
0.5,Corcuera
0.5,attention
0.5,Pacino
0.51389,Keener
0.94444,marvelous
0.45833,spooky
0.73611,entertainment
0.88889,worthy
0.5,ticket
0.69444,fanciful
0.36111,grisly
0.63889,engagingly
0.55556,quixotic
0.77778,enjoyable
0.5,Adaptation
0.70833,intricately
0.36111,strange
0.51389,nails
0.5,Orlean
0.51389,themes
0.54167,adaptation
0.5,book
0.5,So
0.55556,purely
0.5,notice
0.55556,fairly
0.72222,straightforward
0.51389,remake
0.51389,Hollywood
0.5,comedies
0.5,Father
0.55556,Bride
0.55556,Moonlight
0.5,Mile
0.70833,freedom
0.30556,contradictory
0.66667,sentimental
0.5,feels
0.61111,free
0.33333,offend
0.55556,analytical
0.43056,surrenders
0.34722,illogic
0.43056,grief
0.5,permits
0.80556,laughter
0.70833,triumphs
0.5,Igby
0.5,Philippe
0.5,Oliver
0.5,lines
0.5,Sarandon
0.27778,cruel
0.38889,weirdly
0.65278,likable
0.5,WASP
0.5,matron
0.5,Robin
0.5,Williams
0.44444,thankfully
0.5,ditched
0.5,saccharine
0.55556,sentimentality
0.5,Bicentennial
0.5,Man
0.61111,favour
0.5,altogether
0.34722,darker
0.33333,cheated
0.47222,infidelity
0.41667,Unfaithful
0.5,Australia
0.5,Land
0.5,Beyond
0.54167,Big
0.51389,Movie
0.72222,authentic
0.5,Told
0.55556,proficiently
0.5,trounce
0.43056,overly
0.73611,comfortable
0.47222,trappings
0.81944,enthralling
0.55556,aesthetic
0.48611,steeped
0.44444,mystery
0.77778,ravishing
0.52778,baroque
0.77778,beauty
0.5,touches
0.69444,funnybone
0.77778,energetic
0.59722,surprising
0.5,Rachel
0.5,Griffiths
0.83333,captivating
0.5,narrative
0.51389,informed
0.5,wireless
0.625,daytime
0.5,soap
0.55556,woman
0.41667,tragic
0.58333,odyssey
0.5,Duvall
0.52778,no-holds-barred
0.75,cinematic
0.41667,hard-hearted
0.5,person
0.625,underestimated
0.59722,delivers
0.80556,goodies
0.44444,lumps
0.44444,coal
0.51389,Measured
0.51389,practically
0.55556,like-themed
0.88889,Oscar-sweeping
0.48611,predecessor
0.45833,Silence
0.5,Lambs
0.5,Red
0.66667,Dragon
0.5,rates
0.72222,exceptional
0.81944,exhilarating
0.54167,serving
0.48611,fluff
0.5,Maelstrom
0.81944,engrossing
0.5,moral
0.375,twisted
0.52778,sense
0.5,cast
0.5,crew
0.75,enjoyed
0.5,believed
0.26389,small-budget
0.41667,Dark
0.22222,disturbing
0.5,Son
0.44444,exercise
0.52778,predict
0.58333,preordained
0.61111,moment
0.5,occur
0.73611,heartfelt
0.52778,conviction
0.5,discovering
0.5,destination
0.55556,acknowledging
0.5,journalistic
0.55556,draws
0.61111,expedience
0.45833,deadly
0.48611,foreign
0.44444,policy
0.51389,insider
0.77778,star-making
0.52778,machinery
0.5,tinseltown
0.41667,diverting
0.66667,family
0.63889,party-hearty
0.52778,teen
0.45833,scalds
0.40278,acid
0.56944,giddy
0.66667,whimsical
0.56944,relevant
0.5,270
0.75,intriguing
0.5,what-if
0.5,premise
0.5,Pianist
0.5,Roman
0.5,Polanski
0.5,born
0.52778,justice
0.5,Stevenson
0.5,sci-fi
0.5,genre
0.56944,Poignant
0.5,delicately
0.625,complex
0.40278,Enough
0.44444,pander
0.51389,basest
0.55556,desires
0.5,payback
0.44444,revenge
0.625,fantasies
0.5,Cho
0.5,set
0.59722,Want
0.5,stuff
0.44444,confronting
0.5,roots
0.47222,preoccupations
0.5,obsessions
0.45833,Despite
0.30556,shortcomings
0.5,stories
0.5,Those
0.5,Cinema
0.5,Paradiso
0.5,scenes
0.69444,improved
0.54167,eats
0.44444,meddles
0.38889,argues
0.51389,kibbitzes
0.34722,fights
0.5,bracingly
0.5,truthful
0.58333,antidote
0.58333,teenage
0.5,slather
0.5,Clearasil
0.375,blemishes
0.5,youth
0.47222,combustible
0.5,mixture
0.38889,chafing
0.33333,loneliness
0.66667,grandiosity
0.54167,characterize
0.45833,puberty
0.5,Sade
0.51389,lay
0.55556,chemistry
0.5,relationship
0.5,marquis
0.54167,Auteil
0.5,Emilie
0.5,Le
0.5,Besco
0.5,filmmakers
0.47222,post-camp
0.5,comprehension
0.51389,old-time
0.5,good-bad
0.5,Eight
0.55556,Legged
0.44444,Freaks
0.875,perfectly
0.51389,diversion
0.61111,strength
0.5,details
0.58333,larger
0.5,paints
0.5,culture
0.38889,conflict
0.48611,veneer
0.55556,nationalism
0.51389,covers
0.55556,deepest
0.33333,media-soaked
0.54167,speculative
0.5,history
0.375,paranoid
0.51389,impulse
0.5,sequel
0.5,Warren
0.44444,Report
0.40278,faults
0.41667,unapologetic
0.81944,sweetheart
0.5,Mandy
0.5,Moore
0.5,leaves
0.75,positive
0.61111,impression
0.5,Saigon
0.48611,1952
0.34722,uneasy
0.65278,sensual
0.76389,delights
0.55556,simmering
0.19444,violence
0.38889,Quiet
0.5,center
0.55556,Girls
0.5,Ca
0.5,Swim
0.58333,represents
0.81944,engaging
0.58333,intimate
0.77778,talented
0.5,entry
0.14583,Flawed
0.5,Ambrose
0.38889,Dirty
0.52778,Deeds
0.5,David
0.5,Caesar
0.5,stepped
0.54167,mainstream
0.5,filmmaking
0.61111,assurance
0.51389,international
0.72222,acclaim
0.5,tool
0.44444,control
0.58333,driven
0.54167,natural
0.5,screen
0.5,humanity
0.5,Monsoon
0.66667,Wedding
0.56944,balance
0.5,Lookin
0.5,American-style
0.5,Try
0.20833,Hell
0.5,House
0.54167,documents
0.40278,cautionary
0.61111,Christian
0.75,spook-a-rama
0.5,motion
0.66667,illustrates
0.38889,tragedy
0.70833,comedic
0.5,spotlights
0.59722,Notorious
0.55556,C.H.O.
0.51389,verbal
0.5,marks
0.52778,beach
0.5,air
0.51389,conditioning
0.5,Frida
0.79167,romance
0.5,sets
0.54167,avant
0.36111,garde
0.66667,Broadway
0.54167,Lion
0.5,King
0.5,Titus
0.59722,flair
0.5,operates
0.68056,nicely
0.51389,element
0.52778,surprise
0.5,Extremely
0.5,acted
0.54167,primary
0.65278,easily
0.43056,forgotten
0.61111,exudes
0.5,urbane
0.77778,sweetness
0.41667,Woody
0.36111,bitterly
0.41667,forsaken
0.45833,K-19
0.44444,Widowmaker
0.36111,overlong
0.44444,bombastic
0.63889,surprisingly
0.55556,hard-edged
0.23611,violent
0.5,bit
0.16667,exploitative
0.61111,morally
0.55556,alert
0.61111,street-smart
0.5,Cineasts
0.5,revel
0.54167,visual
0.55556,in-jokes
0.48611,pokes
0.625,likes
0.5,Miramax
0.5,chief
0.5,Harvey
0.5,Weinstein
0.38889,bluff
0.63889,personal
0.55556,style
0.79167,stylistic
0.5,rigors
0.5,Denmark
0.5,Dogma
0.5,movement
0.79167,artistic
0.5,collaboration
0.625,promise
0.5,runs
0.38889,aground
0.47222,snared
0.44444,tangled
0.5,plot
0.47222,Perhaps
0.55556,sports
0.5,timing
0.86111,priceless
0.52778,creates
0.58333,visceral
0.5,lives
0.5,conflicted
0.51389,melodramatic
0.5,Lifetime
0.48611,Channel-style
0.51389,anthology
0.52778,sensitive
0.55556,edgy
0.45833,punch
0.5,1994
0.38889,strain
0.56944,credibility
0.5,Reno
0.5,monologue
0.55556,manages
0.5,incorporate
0.34722,absurdity
0.5,situation
0.73611,well-balanced
0.56944,fashion
0.61111,truth
0.875,confident
0.5,emotionally
0.13889,devastating
0.5,small-scale
0.5,responsibility
0.61111,care
0.5,community
0.5,Arteta
0.5,directs
0.51389,ensemble
0.5,casts
0.5,casting
0.51389,von
0.51389,Sydow
0.5,Intacto
0.61111,luckiest
0.38889,stroke
0.41667,single-minded
0.52778,Carpenter
0.5,lot
0.79167,smarter
0.40278,unnerving
0.5,sequels
0.58333,romantic
0.38889,crime
0.80556,clever
0.875,amusing
0.51389,unpredictable
0.55556,Stands
0.5,letting
0.48611,forces
0.5,ponder
0.55556,anew
0.5,2\/3
0.68056,incredibly
0.59722,insanely
0.5,devices
0.76389,cool
0.5,backmasking
0.52778,wickedly
0.33333,sick
0.625,grinning
0.81944,entertained
0.59722,old-fashioned
0.54167,substance
0.65278,teacher
0.47222,slide
0.54167,slippery
0.5,slope
0.26389,dishonesty
0.51389,encounter
0.16667,disdain
0.5,song
0.5,includes
0.59722,stepdad
0.5,adjusting
0.5,English-language
0.52778,honor
0.5,Miyazaki
0.54167,teeming
0.41667,unsettling
0.5,landscape
0.66667,complexity
0.72222,pleasures
0.51389,afford
0.5,moviegoers
0.45833,occupied
0.54167,amidst
0.55556,serious-minded
0.44444,concerns
0.5,year-end
0.40278,Not
0.5,accept
0.45833,Trials
0.5,Henry
0.5,Kissinger
0.75,faithful
0.5,portraiture
0.33333,argue
0.5,debate
0.5,joins
0.5,effects
0.5,endings
0.66667,Like
0.54167,raised
0.40278,notches
0.45833,kiddie
0.61111,fantasy
0.48611,pablum
0.48611,astringent
0.58333,Hawaiian
0.52778,setting
0.5,science-fiction
0.5,trimmings
0.45833,rowdy
0.63889,slapstick
0.5,basic
0.5,Lilo
0.5,pulled
0.38889,tear-stained
0.58333,vintage
0.5,Shirley
0.51389,Temple
0.58333,script
0.5,brutally
0.5,documentary
0.63889,anticipated
0.66667,reunion
0.26389,wrong
0.5,shock
0.33333,refusal
0.65278,empathize
0.5,Filled
0.44444,Baran
0.63889,gentle
0.66667,dramatic
0.5,haunting
0.5,ode
0.63889,Sparkles
0.66667,deft
0.5,portrait
0.44444,Tinseltown
0.54167,seasoned
0.61111,veterans
0.44444,gossip
0.61111,wealth
0.31944,paranoia
0.5,celebrityhood
0.34722,dry
0.44444,forceful
0.5,Jiri
0.54167,Menzel
0.5,Closely
0.56944,Watched
0.51389,Trains
0.625,Danis
0.5,Tanovic
0.69444,triumph
0.5,narratively
0.5,Haynes
0.68056,homage
0.5,All
0.625,Heaven
0.51389,Allows
0.38889,Imitation
0.61111,Life
0.76389,transcends
0.61111,Simply
0.72222,intense
0.69444,effective
0.5,chilly
0.47222,anonymity
0.5,environments
0.5,spend
0.51389,Although
0.5,involving
0.55556,growing
0.5,Catholic
0.5,Proves
0.5,Korean
0.5,undemanding
0.61111,alacrity
0.5,counterparts
0.43056,skittish
0.65278,New
0.5,York
0.5,middle-agers
0.44444,stumble
0.34722,struggle
0.34722,furiously
0.5,foibles
0.81944,Top-notch
0.5,powers
0.5,Beresford
0.5,mixes
0.5,pathos
0.59722,journey
0.31944,shame
0.58333,opportunity
0.55556,embrace
0.5,Evelyn
0.5,stopped
0.5,thinking
0.55556,started
0.52778,reacting
0.88889,grand
0.47222,urgently
0.63889,protagonists
0.33333,struggled
0.51389,mercy
0.69444,inventiveness
0.52778,gasping
0.5,Probably
0.51389,Christianity
0.5,Chesterton
0.66667,Lewis
0.55556,gently
0.58333,sweetly
0.70833,adventurous
0.73611,genuinely
0.48611,unconned
0.38889,FALSE
0.5,sentiment
0.29167,overmanipulative
0.61111,practices
0.48611,Would
0.19444,unendurable
0.52778,viewing
0.5,ultra-provincial
0.5,Yorker
0.55556,26-year-old
0.5,Reese
0.5,Witherspoon
0.51389,inject
0.5,Melanie
0.61111,Carmichael
0.5,massive
0.5,infusion
0.59722,magic
0.61111,Visually
0.54167,fathers
0.51389,sons
0.66667,loyalty
0.5,duty
0.625,metaphor
0.61111,cultural
0.625,self-discovery
0.58333,picaresque
0.56944,view
0.34722,little-remembered
0.5,Sch眉tte
0.5,snapshot
0.45833,death
0.5,speculation
0.5,Brecht
0.65278,faced
0.5,drew
0.625,slick
0.43056,melodrama
0.5,S1M0NE
0.70833,subtle
0.375,off-beat
0.5,project
0.5,object
