phrase,level
matter,2
weeks,2
release,2
spiced,3
humor,4
speak,2
fluent,2
flatula,1
advises,2
Denlopp,2
bubbly,3
exchange,2
alien,2
deckhand,2
witty,3
updatings,2
Silver,2
parrot,2
replaced,2
Morph,2
cute,3
creature,2
mimics,2
There,2
Y,2
Tu,2
Mam谩,2
Tambi茅n,2
brave,2
uninhibited,3
performances,2
lead,2
13,2
Conversations,2
holds,2
goodwill,3
close,2
slow,1
Auto,2
Focus,3
unusual,2
biopic,2
document,3
male,2
swingers,2
Playboy,2
Mr.,2
Zhang,2
subject,2
degree,2
quintessentially,2
American,2
approach,2
storytelling,2
called,2
Iranian,2
sour,1
core,2
exploration,2
emptiness,1
underlay,2
relentless,2
gaiety,2
1920,2
feeling,2
deal,2
Cremaster,2
3,2
warning,2
buffs,2
Made,2
unintentionally,3
famous,2
queasy-stomached,1
critic,2
staggered,2
theater,3
blacked,2
lobby,2
beautiful,4
evocative,3
Garc铆a,2
Bernal,2
Talanc贸n,2
immensely,3
appealing,3
couple,2
predictable,2
spoof,2
comedy,3
carries,2
share,3
laughs,3
chuckle,3
guffaw,2
pleasure,4
occasional,2
belly,2
laugh,3
City,2
reminds,2
realistically,3
nuanced,2
Robert,2
De,2
Niro,2
performance,2
lucratively,3
engaged,3
shameless,1
self-caricature,1
Analyze,2
1999,2
That,2
promised,2
threatened,2
wanton,2
slipperiness,2
\*,2
Corpus,2
amiable,3
jerking,2
reshaping,2
physical,2
space,2
watch,2
kids,2
introduce,2
video,2
starts,2
typical,1
Bible,2
killer,1
theme,2
pride,2
sophisticated,3
discerning,2
taste,2
proper,2
cup,2
guaranteed,2
stuffiest,1
cinema,2
goers,2
\*\*\*,2
hour-and-a-half,2
cuts,2
fears,1
girl,2
boys,2
boy,2
metaphorical,2
wave,2
relief,2
baseball,2
movies,2
mythic,2
sweet,4
modest,3
ultimately,2
winning,3
crisp,2
psychological,3
drama,1
thriller,3
perfect,4
Twilight,2
Zone,2
episode,2
moments,2
insightful,3
fondly,3
remembered,2
endlessly,1
challenging,2
maze,2
moviegoing,2
Opening,2
contrived,2
banter,2
cliches,2
loose,1
half,2
An,2
uncluttered,3
resonant,3
gem,3
relays,2
universal,2
confrontations,1
Cockettes,2
window,2
subculture,2
hell-bent,1
expressing,2
imaginable,3
smart,4
steamy,3
mix,2
road,1
coming-of-age,2
political,2
satire,2
modern-day,2
royals,2
guys,2
scandals,2
fairy,2
tales,2
princesses,3
married,2
live,2
happily,3
B,2
memory,2
Birthday,2
actor,2
foremost,2
walked,2
version,2
E.T.,2
hoped,2
moist,2
eyes,2
devotees,2
French,2
Safe,2
Conduct,2
rich,3
period,2
minutiae,2
dying,1
celluloid,2
heaven,3
characters,2
resemblance,2
everyday,2
children,3
Shamelessly,1
resorting,2
pee-related,1
sight,2
gags,2
Tom,2
Green,2
grimace,1
Myer,2
silliness,1
eventually,2
prevail,3
absurdist,1
spider,2
web,2
happy,4
listening,2
watching,2
parade,2
frailty,2
fascinates,3
moves,2
original,3
nostalgia,2
communal,2
experiences,2
yesteryear,2
deeper,2
realization,2
inability,2
stand,2
TRUE,3
lived,2
experience,2
Some,2
blend,2
distant,1
memories,2
Mention,2
Solaris,2
opinion,2
Allen,2
funniest,4
likeable,3
glorious,4
spectacle,3
D.W.,2
Griffith,2
days,2
silent,2
comic,2
delightful,4
derivative,3
More,2
timely,2
director,2
dreamed,2
quietly,2
lyrical,2
tale,2
probes,2
ambiguous,3
extended,2
Iran,2
Afghani,2
streamed,2
borders,2
desperate,1
food,2
leaping,2
shaped,2
Kosminsky,2
sharp,3
slivers,2
cutting,2
impressions,2
signs,2
detail,3
condensed,2
images,2
striking,3
traits,2
With,2
principal,2
singers,2
youthful,2
good-looking,3
diva,3
tenor,2
richly,3
handsome,2
locations,2
Jacquot,2
left,2
filmed,2
opera,2
distortions,1
perspective,2
production,2
enormous,3
amount,2
affection,3
Certainly,3
worthwhile,3
Winds,2
revelatory,3
narcissistic,1
achieving,2
honest,4
insight,2
relationships,2
high-concept,3
candy-coat,2
pat,2
storylines,2
precious,3
circumstances,2
stars,2
Watching,2
inspiring,3
joy,4
Spielberg,2
brings,2
masterpiece,4
Finally,2
French-produced,2
Read,2
Lips,2
understands,2
Ms.,2
Seigner,2
Serrault,2
bring,3
fresh,4
naturalism,2
outgag,2
whippersnappers,2
moving,3
pictures,2
solid,3
pedigree,2
front,2
camera,2
By,2
slam-dunk,4
disappoint,0
moved,3
edge,3
seats,2
dynamic,3
touching,3
transcendent,3
encourage,4
alike,2
unique,3
entertaining,4
twist,2
classic,3
whale,2
literary,2
detective,2
aficionados,2
whodunit,2
disappointed,1
High,2
Crimes,2
steals,0
freely,3
combines,2
disparate,2
types,2
engage,3
audience,2
fan,3
series,2
celebrates,3
spark,2
nonconformity,2
glancing,2
Hibiscus,2
grandly,3
angels,2
ironic,2
ridiculous,1
money-oriented,1
record,2
industry,2
testament,2
integrity,3
band,2
Laced,1
liberal,2
doses,2
dark,2
gorgeous,3
exterior,2
photography,2
stable-full,2
No,1
Such,2
Huppert,2
steal,1
meal,3
channeling,2
Kathy,2
Baker,2
creepy,1
repressed,1
mother,2
Boston,2
Public,2
8,2
Women,2
Augustine,2
Nair,2
treat,3
issues,2
She,2
confront,2
openly,2
One,2
horror,1
shocks,2
store,2
unwary,1
viewers,2
filmmaker,2
secrets,2
buried,2
revealing,2
Strange,2
occurrences,2
build,2
mind,2
viewer,2
extreme,2
urgency,2
Has,2
ghoulish,2
fascination,3
generates,2
fair,2
B-movie,1
excitement,3
Familiar,2
utterly,2
hooked,3
delicious,3
pulpiness,2
lurid,2
fiction,3
aims,2
funny,3
uplifting,3
extent,2
succeeds,3
impressive,4
brilliantly,4
shines,4
direction,2
intelligently,3
accomplished,3
While,2
collegiate,2
gross-out,2
restoring,2
luster,2
National,2
Lampoon,2
franchise,2
reduced,2
direct-to-video,2
irrelevancy,1
As,2
broad,2
cartoonish,2
accuracy,3
observation,2
Frank,2
Novak,2
grounded,3
undeniable,2
social,2
realism,2
In,2
addition,2
Hoffman,2
powerful,4
clinic,2
rare,3
offers,2
thoughtful,4
rewarding,3
glimpse,2
sort,2
heartache,2
feel,2
someday,2
Jeffrey,2
Tambor,2
intelligent,3
jazz-playing,2
exterminator,2
Oscar-worthy,4
From,1
strains,1
Average,2
White,2
Band,2
Pick,2
Pieces,2
Stevens,2
vibrant,3
instincts,2
difference,2
countless,2
flicks,2
dolls,2
mature,3
2002,2
summer,2
season,3
speaks,2
picture,2
Old,1
people,2
nicest,4
Last,2
Orders,2
touch,3
earned,2
50-year,2
friendship,2
Meyjes,2
provocative,3
haphazardness,1
evil,1
Tian,2
emphasizes,2
isolation,1
confining,1
color,2
Liyan,2
backyard,2
pretty,4
demeaning,1
subjects,2
imagine,2
scenario,2
Bergman,2
approaches,2
Swedish,3
fatalism,2
Gary,2
Larson,2
Far,2
Side,2
Too,2
damn,1
weird,1
pass,2
blacklight,2
crowd,2
cheaper,2
Pink,2
Floyd,2
tickets,2
remarkable,4
epic,3
scope,2
startling,2
intimacy,2
achieves,2
breadth,2
monster,2
paid,2
matinee,2
price,2
bought,2
tub,2
popcorn,3
guilty,1
Chomp,2
chomp,2
Grey,2
voice,2
heard,2
Holocaust,2
suffers,2
difficulties,1
Others,2
attuned,3
anarchist,2
maxim,2
urge,2
destroy,1
Morrison,2
iconoclastic,2
technology,2
liberating,3
Miller,2
tells,2
compelling,3
fuss,2
noise,2
expertly,3
plucking,2
tension,2
Time,2
Out,2
existential,2
pretension,2
term,2
laugh-a-minute,3
pleaser,3
lifts,2
spirits,2
corners,2
mouth,2
Writer\/director,2
Alexander,2
Payne,2
Election,2
co-writer,2
Jim,2
Taylor,2
employ,2
quirky,2
fearless,3
ability,2
angst,2
eye,2
laughing,4
flaws,1
insists,2
virtue,3
imperfection,2
tough,2
animated,2
feature,2
theaters,2
Beauty,3
Beast,2
11,2
ago,2
saves,3
deeply,2
collection,2
wrenching,2
Corcuera,2
attention,2
Pacino,2
Keener,2
marvelous,4
spooky,2
entertainment,3
worthy,4
ticket,2
fanciful,3
grisly,1
engagingly,3
quixotic,2
enjoyable,3
Adaptation,2
intricately,3
strange,1
nails,2
Orlean,2
themes,2
adaptation,2
book,2
So,2
purely,2
notice,2
fairly,2
straightforward,3
remake,2
Hollywood,2
comedies,2
Father,2
Bride,2
Moonlight,2
Mile,2
freedom,3
contradictory,1
sentimental,3
feels,2
free,3
offend,1
analytical,2
surrenders,2
illogic,1
grief,2
permits,2
laughter,4
triumphs,3
Igby,2
Philippe,2
Oliver,2
lines,2
Sarandon,2
cruel,1
weirdly,1
likable,3
WASP,2
matron,2
Robin,2
Williams,2
thankfully,2
ditched,2
saccharine,2
sentimentality,2
Bicentennial,2
Man,2
favour,3
altogether,2
darker,1
cheated,1
infidelity,2
Unfaithful,2
Australia,2
Land,2
Beyond,2
Big,2
Movie,2
authentic,3
Told,2
proficiently,2
trounce,2
overly,2
comfortable,3
trappings,2
enthralling,4
aesthetic,2
steeped,2
mystery,2
ravishing,3
baroque,2
beauty,3
touches,2
funnybone,3
energetic,3
surprising,2
Rachel,2
Griffiths,2
captivating,4
narrative,2
informed,2
wireless,2
daytime,3
soap,2
woman,2
tragic,2
odyssey,2
Duvall,2
no-holds-barred,2
cinematic,3
hard-hearted,2
person,2
underestimated,3
delivers,2
goodies,4
lumps,2
coal,2
Measured,2
practically,2
like-themed,2
Oscar-sweeping,4
predecessor,2
Silence,2
Lambs,2
Red,2
Dragon,3
rates,2
exceptional,3
exhilarating,4
serving,2
fluff,2
Maelstrom,2
engrossing,4
moral,2
twisted,1
sense,2
cast,2
crew,2
enjoyed,3
believed,2
small-budget,1
Dark,2
disturbing,1
Son,2
exercise,2
predict,2
preordained,2
moment,3
occur,2
heartfelt,3
conviction,2
discovering,2
destination,2
acknowledging,2
journalistic,2
draws,2
expedience,3
deadly,2
foreign,2
policy,2
insider,2
star-making,3
machinery,2
tinseltown,2
diverting,2
family,3
party-hearty,3
teen,2
scalds,2
acid,2
giddy,2
whimsical,3
relevant,2
270,2
intriguing,3
what-if,2
premise,2
Pianist,2
Roman,2
Polanski,2
born,2
justice,2
Stevenson,2
sci-fi,2
genre,2
Poignant,2
delicately,2
complex,3
Enough,2
pander,2
basest,2
desires,2
payback,2
revenge,2
fantasies,3
Cho,2
set,2
Want,2
stuff,2
confronting,2
roots,2
preoccupations,2
obsessions,2
Despite,2
shortcomings,1
stories,2
Those,2
Cinema,2
Paradiso,2
scenes,2
improved,3
eats,2
meddles,2
argues,1
kibbitzes,2
fights,1
bracingly,2
truthful,2
antidote,2
teenage,2
slather,2
Clearasil,2
blemishes,1
youth,2
combustible,2
mixture,2
chafing,1
loneliness,1
grandiosity,3
characterize,2
puberty,2
Sade,2
lay,2
chemistry,2
relationship,2
marquis,2
Auteil,2
Emilie,2
Le,2
Besco,2
filmmakers,2
post-camp,2
comprehension,2
old-time,2
good-bad,2
Eight,2
Legged,2
Freaks,2
perfectly,4
diversion,2
strength,3
details,2
larger,2
paints,2
culture,2
conflict,1
veneer,2
nationalism,2
covers,2
deepest,2
media-soaked,1
speculative,2
history,2
paranoid,1
impulse,2
sequel,2
Warren,2
Report,2
faults,2
unapologetic,2
sweetheart,4
Mandy,2
Moore,2
leaves,2
positive,3
impression,3
Saigon,2
1952,2
uneasy,1
sensual,3
delights,3
simmering,2
violence,0
Quiet,1
center,2
Girls,2
Ca,2
Swim,2
represents,2
engaging,4
intimate,2
talented,3
entry,2
Flawed,0
Ambrose,2
Dirty,1
Deeds,2
David,2
Caesar,2
stepped,2
mainstream,2
filmmaking,2
assurance,3
international,2
acclaim,3
tool,2
control,2
driven,2
natural,2
screen,2
humanity,2
Monsoon,2
Wedding,3
balance,2
Lookin,2
American-style,2
Try,2
Hell,1
House,2
documents,2
cautionary,2
Christian,3
spook-a-rama,3
motion,2
illustrates,3
tragedy,1
comedic,3
spotlights,2
Notorious,2
C.H.O.,2
verbal,2
marks,2
beach,2
air,2
conditioning,2
Frida,2
romance,3
sets,2
avant,2
garde,1
Broadway,3
Lion,2
King,2
Titus,2
flair,2
operates,2
nicely,3
element,2
surprise,2
Extremely,2
acted,2
primary,2
easily,3
forgotten,2
exudes,3
urbane,2
sweetness,3
Woody,2
bitterly,1
forsaken,2
K-19,2
Widowmaker,2
overlong,1
bombastic,2
surprisingly,3
hard-edged,2
violent,1
bit,2
exploitative,0
morally,3
alert,2
street-smart,3
Cineasts,2
revel,2
visual,2
in-jokes,2
pokes,2
likes,3
Miramax,2
chief,2
Harvey,2
Weinstein,2
bluff,1
personal,3
style,2
stylistic,3
rigors,2
Denmark,2
Dogma,2
movement,2
artistic,3
collaboration,2
promise,3
runs,2
aground,1
snared,2
tangled,2
plot,2
Perhaps,2
sports,2
timing,2
priceless,4
creates,2
visceral,2
lives,2
conflicted,2
melodramatic,2
Lifetime,2
Channel-style,2
anthology,2
sensitive,2
edgy,2
punch,2
1994,2
strain,1
credibility,2
Reno,2
monologue,2
manages,2
incorporate,2
absurdity,1
situation,2
well-balanced,3
fashion,2
truth,3
confident,4
emotionally,2
devastating,0
small-scale,2
responsibility,2
care,3
community,2
Arteta,2
directs,2
ensemble,2
casts,2
casting,2
von,2
Sydow,2
Intacto,2
luckiest,3
stroke,1
single-minded,2
Carpenter,2
lot,2
smarter,3
unnerving,2
sequels,2
romantic,2
crime,1
clever,4
amusing,4
unpredictable,2
Stands,2
letting,2
forces,2
ponder,2
anew,2
2\/3,2
incredibly,3
insanely,2
devices,2
cool,3
backmasking,2
wickedly,2
sick,1
grinning,3
entertained,4
old-fashioned,2
substance,2
teacher,3
slide,2
slippery,2
slope,2
dishonesty,1
encounter,2
disdain,0
song,2
includes,2
stepdad,2
adjusting,2
English-language,2
honor,2
Miyazaki,2
teeming,2
unsettling,2
landscape,2
complexity,3
pleasures,3
afford,2
moviegoers,2
occupied,2
amidst,2
serious-minded,2
concerns,2
year-end,2
Not,2
accept,2
Trials,2
Henry,2
Kissinger,2
faithful,3
portraiture,2
argue,1
debate,2
joins,2
effects,2
endings,2
Like,3
raised,2
notches,2
kiddie,2
fantasy,3
pablum,2
astringent,2
Hawaiian,2
setting,2
science-fiction,2
trimmings,2
rowdy,2
slapstick,3
basic,2
Lilo,2
pulled,2
tear-stained,1
vintage,2
Shirley,2
Temple,2
script,2
brutally,2
documentary,2
anticipated,3
reunion,3
wrong,1
shock,2
refusal,1
empathize,3
Filled,2
Baran,2
gentle,3
dramatic,3
haunting,2
ode,2
Sparkles,3
deft,3
portrait,2
Tinseltown,2
seasoned,2
veterans,3
gossip,2
wealth,3
paranoia,1
celebrityhood,2
dry,1
forceful,2
Jiri,2
Menzel,2
Closely,2
Watched,2
Trains,2
Danis,3
Tanovic,2
triumph,3
narratively,2
Haynes,2
homage,3
All,2
Heaven,3
Allows,2
Imitation,1
Life,3
transcends,3
Simply,3
intense,3
effective,3
chilly,2
anonymity,2
environments,2
spend,2
Although,2
involving,2
growing,2
Catholic,2
Proves,2
Korean,2
undemanding,2
alacrity,3
counterparts,2
skittish,2
New,3
York,2
middle-agers,2
stumble,2
struggle,1
furiously,1
foibles,2
Top-notch,4
powers,2
Beresford,2
mixes,2
pathos,2
journey,2
shame,1
opportunity,2
embrace,2
Evelyn,2
stopped,2
thinking,2
started,2
reacting,2
grand,4
urgently,2
protagonists,3
struggled,1
mercy,2
inventiveness,3
gasping,2
Probably,2
Christianity,2
Chesterton,2
Lewis,3
gently,2
sweetly,2
adventurous,3
genuinely,3
unconned,2
FALSE,1
sentiment,2
overmanipulative,1
practices,3
Would,2
unendurable,0
viewing,2
ultra-provincial,2
Yorker,2
26-year-old,2
Reese,2
Witherspoon,2
inject,2
Melanie,2
Carmichael,3
massive,2
infusion,2
magic,2
Visually,3
fathers,2
sons,2
loyalty,3
duty,2
metaphor,3
cultural,3
self-discovery,3
picaresque,2
view,2
little-remembered,1
Sch眉tte,2
snapshot,2
death,2
speculation,2
Brecht,2
faced,3
drew,2
slick,3
melodrama,2
S1M0NE,2
subtle,3
off-beat,1
project,2
object,2
Vietnam,2
rah-rah,3
patriotic,3
tone,2
Soldiers,2
strategic,2
objective,2
dramatizing,2
cost,2
define,2
generation,2
Even,2
album,2
enjoy,4
evolve,3
learn,2
music,2
business,2
convincing,3
water,2
mark,2
Films,2
loss,1
recovery,2
valuable,3
Seen,2
strike,2
nerve,2
inventive,3
consistently,2
sickeningly,1
savage,2
impeccable,4
perversity,1
dazzling,4
conceptual,2
feat,2
thrills,4
over-the-top,2
Stuffed,2
brim,2
ideas,2
instigator,2
Michael,2
rambling,1
gun,2
modus,3
operandi,2
crucifixion,1
juxtaposition,2
Affectionately,3
language,2
traced,2
power,2
leave,1
believing,2
large-frame,2
IMAX,2
lends,2
beautifully,3
filming,2
reefs,2
junior,2
scientists,2
grown-up,2
fish,2
lovers,2
depressing,0
boring,0
school,2
students,2
deals,2
unfamiliar,1
avenues,2
discourse,2
Same,2
verse,2
coulda,2
worse,1
technically,3
superb,4
shining,3
utilizing,3
talents,3
top-notch,4
team,3
Wilco,2
converts,2
Tsai,2
well-deserved,3
reputation,2
stylists,3
shot,2
enhances,2
Franz,2
Kafka,3
alive,3
Broomfield,2
interviewees,2
Leguizamo,2
uniformly,2
originality,3
distance,2
pack,2
paint-by-number,2
screens,2
refined,3
moviemaking,2
imbued,2
attitude,2
Nettelbeck,2
crafted,3
flavours,3
recipe,2
sex,3
wonderful,3
destiny,2
told,2
master,2
storyteller,2
On,2
surface,2
Scotland,2
PA,2
forgettable,0
bard,2
play,2
arresting,3
fine,3
stuck,2
Betty,2
Fisher,2
first-class,3
proves,2
ego,2
reality,2
pay,2
Simone,2
DVD,2
rental,2
Well,2
directed,2
sardonic,2
maudlin,2
backstage,2
must-see,4
back-stabbing,1
inter-racial,2
desire,2
importantly,2
singing,2
dancing,3
sounds,2
Paul,2
writer-director,2
1.8,2
charmer,3
cutting-edge,4
indie,2
disturbingly,1
dysfunctional,1
How,3
Killed,2
Anne,2
Fontaine,2
inspired,3
male-ridden,2
emotional,2
blockage,2
accompanies,2
condition,2
Below,2
Twohy,2
emergence,2
remains,1
undiminished,2
Interview,2
Assassin,2
Happily,3
stays,2
ground,2
spare,2
manner,2
pummel,2
phony,1
Its,2
sheer,2
dynamism,3
infectious,3
attempt,2
noir,2
flawed,1
future,2
managed,2
crappola,1
radar,2
cliche,1
refreshing,3
Drumline,2
level,2
Black,2
manhood,2
complicated,2
Burning,1
ethos,2
counter-cultural,3
idealism,3
hedonistic,1
creativity,3
limited,1
confined,1
spaces,3
homages,2
low-budget,1
wonderfully,3
loopy,1
longing,2
voting,2
Huston,2
fragile,2
Ivan,2
accepts,2
illness,0
unable,1
react,2
anguished,1
bitter,0
Koshashvili,2
Predictable,2
storyline,2
by-the-book,2
scripting,2
washed,2
sumptuous,3
ocean,2
visuals,2
stylings,2
Stockwell,2
Antwone,2
trick,2
protagonist,1
celebrate,4
victories,2
exceptions,2
rarely,2
stoops,2
cheap,0
manipulation,2
corny,1
conventions,2
dimming,1
ambition,3
clarity,3
openness,2
recalls,1
classics,2
Italian,2
neorealism,2
challenges,1
nervy,2
oddity,2
modern,2
Whenever,2
figured,2
Late,2
Marriage,2
throws,2
loop,2
endurance,2
common,2
reconciled,2
survival,2
Orange,2
juice,2
fresh-squeezed,2
symbolic,3
economic,2
sweeping,3
China,2
mistakes,1
bad,0
determined,2
nobility,2
Cusack,2
brilliant,4
Knows,2
imagination,3
Jae-eun,2
Jeong,2
beguiling,3
freshness,3
buoyant,2
flow,2
emerges,2
contribution,2
flowering,3
fabric,2
hypnotic,2
Mattei,2
fosters,2
spontaneous,3
Evokes,3
palpable,3
disconnection,2
poignant,4
incessant,1
cell,2
phones,2
Malcolm,2
McDowell,2
Bettany,2
playing,2
Cool,3
immigrant,2
brink,2
major,2
trashy,1
stuffed,2
bewildering,1
self-importance,3
absorbing,3
classify,2
resist,1
made-up,2
sisters,2
Caine,2
lost,2
admittedly,2
middling,2
Bogdanovich,2
Kirsten,2
Dunst,2
showcases,1
Davies,2
generosity,3
diplomacy,2
breezy,2
caper,2
soulful,3
incisive,2
meditation,2
austerity,2
capable,3
clear-eyed,2
intensely,2
filled,2
nervous,1
ambiguity,2
uncertainties,1
Reveals,2
service,2
draw,2
walls,2
separate,2
good-natured,3
Tremors,2
prime,3
escapist,2
fare,2
cult,1
celebrity,2
Mel,1
Gibson,2
brutal,2
90-minute,2
battle,2
sequence,2
issue,2
dog-tag,2
M-16,2
graceful,2
tribute,3
courage,2
finest,3
understated,2
expression,2
shared,2
nation,2
sacrifice,2
Zealand,2
boozy,1
languid,2
balanced,2
board,2
Jaglomized,2
Cannes,2
annual,2
Riviera,2
spree,2
flesh,2
buzz,2
blab,1
money,2
hoping,2
luck,2
hugely,2
enlightening,3
Grant,2
Four,2
Weddings,2
Funeral,2
Bridget,2
Diary,2
rip-roaring,3
fest,2
hairs,2
chest,2
yarn,2
sneeze,2
Simultaneously,2
heart-breaking,2
Kiss,2
subversive,1
Disney,3
cartoon,2
providing,2
unexpected,2
fizzability,1
unforgettable,4
morality,2
expectation,2
prism,2
omnibus,2
tradition,2
marriage,2
occasionally,2
experiment,2
wondrously,3
gifted,3
artists,2
storytellers,3
Ayurveda,2
return,2
sane,2
regimen,2
eating,2
sleeping,2
stress-reducing,3
contemplation,3
Meeting,2
exceeding,2
Strikes,2
Back,2
majestic,4
achievement,3
grandeur,2
Leigh,2
directors,2
soul,2
He,2
contributions,3
method,2
fails,0
superbly,3
Poetry,3
captured,3
repetitive,1
informative,4
Directing,2
measured,2
Haneke,2
steers,2
sensational,4
unflinching,2
decidedly,2
perverse,1
pathology,2
establishes,2
mood,2
Ring,2
moderately,2
elegantly,3
colorful,3
sound,2
succeed,3
Amari,2
dressed,2
parable,2
irresistible,3
privileged,2
memorable,4
Rabbit-Proof,2
Fence,2
angry,1
weep,2
sucker,0
Both,2
heartbreaking,2
heartwarming,3
fable,2
artless,0
sytle,2
tremendously,2
masterfully,4
calibrated,2
thrives,2
taut,2
atmosphere,2
falls,1
short,2
terrible,1
propelled,2
supremely,3
prevent,2
waste,1
Here,2
divine,3
monument,2
single,2
regain,2
dignity,2
delightfully,3
Elegant,3
mannered,3
teasing,1
average,2
elevated,2
wholesome,3
pesky,1
interfering,1
discovery,2
homosexuality,2
ingenuity,3
displays,2
freshening,3
class,2
Decasia,2
happened,2
newsreels,2
shower,2
black-and-white,2
psychedelia,2
bitchy,0
frolic,2
popularity,2
small-town,2
Lone,2
Star,3
State,2
eloquently,3
deep-seated,2
Ryan,2
Gosling,2
22,2
minor,2
denying,1
fleeting,2
brew,2
perseverance,2
hopeless,1
closure,2
introduction,2
theories,3
influence,3
useless,1
inquisitive,3
invaluable,2
duel,2
performers,2
Imperfect,1
Yes,2
honorable,2
distinguished,3
legacy,2
minimum,2
4,2
units,2
Bullock,2
innocent,3
trust,2
Passionate,3
irrational,1
long-suffering,1
tarantula,2
Helga,2
figures,2
prominently,2
proceedings,2
grown-ups,2
rugrats,2
image,2
Vividly,3
conveys,2
fearlessness,3
Mexico,2
controversial,1
nonconformist,3
Ending,2
show-stoppingly,3
hilarious,4
scathingly,2
Maybe,2
Thomas,2
Wolfe,2
ripping,2
Granger,2
Gauge,2
1,2
10,3
Powerpuff,2
fast,2
frenetic,2
punny,2
6,2
aimed,2
grade-school,2
telemarketers,2
Perfectly,3
pitched,2
despair,1
About,2
Schmidt,2
closer,2
someplace,2
consuming,2
self-absorption,2
insistently,2
demanding,1
otherness,2
nonsense,1
Shyamalan,2
goose-pimple,3
empty,1
head,2
fills,2
purpose,3
bruised,0
count,2
sexy,4
peculiar,2
costume,2
Renaissance,2
Spain,3
based,2
events,2
freshly,3
considers,2
arguments,2
Bard,2
immortal,2
plays,2
highly,2
spirited,4
imaginative,4
kid,2
broaches,2
neo-Augustinian,2
theology,2
Is,2
God,2
afraid,2
His,2
best-known,2
creation,2
Call,2
surrealism,2
Miss,2
Wonton,2
floats,2
Raimi,2
Spider-Man,3
explores,2
sensitivity,2
inquisitiveness,2
reminiscent,2
Truffaut,2
Well-acted,3
well-directed,3
moodiness,1
pretentious,1
satisfying,4
blockbuster,3
Boomers,2
Barrie,2
Real,3
Have,2
Curves,3
wears,1
empowerment,3
sleeve,2
worst,0
harangues,2
easy,2
swallow,2
Ferrera,2
Ontiveros,2
Ultimately,2
MIB,2
II,2
levity,3
